FUR_ID,FUR_NAME,FUR_LINK,FUR_DESC,FUR_COST,FUR_DIM_L,FUR_DIM_W,FUR_DIM_H,FUR_TYPE
28,TISDAG LED Floor Lamp,https://shopperboard.com/TISDAG-LED-floor-lamp-IKEA/product/1631,FOO,199,55,58,13,Lamp
29,Bjursta Table ,https://www.remodelista.com/products/bjursta-extendable-ding-table/,FOO,199,180,73,84,Table
30,Lack Side Table,https://offerup.com/item/detail/535779608,FOO,17,56,46,56,Table
31,Markor Dining Table,https://offerup.com/item/detail/535779608,FOO,40,190,75,95,Table
32,Liatrop Dining Table,https://www.ikea.com/us/en/p/ingatorp-extendable-table-white-40217069/,FOO,499,155,74,110,Table
33,Mella Table,https://www.ikea.com/us/en/p/melltorp-adde-table-and-4-chairs-white-s99014376/?utm_source=google&utm_medium=surfaces&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Dining&region_id=10601192314786955162336659916054086938&gclid=CjwKCAjw1t2pBhAFEiwA_-A-NPYvznQbaFr_Pr_Sd-PRp4Qv7bFdqepMbmCKkUte8CO_O1v-6rk95xoCv54QAvD_BwE,FOO,160,125,74,74,Table
34,Jokkmokk Table,https://www.ikea.com/us/en/p/jokkmokk-table-and-4-chairs-antique-stain-50211104/,FOO,200,117,74,74,Table
35,Lisabo Coffe Table,https://www.ikea.com/us/en/p/lisabo-coffee-table-ash-veneer-70297658/,FOO,170,117,48,48,Table
36,Stornas Extending Table,https://www.ikea.com/cz/en/p/stornaes-extendable-table-antique-stain-40176846/,FOO,344,147,74,95,Table
37,Norden Folding Table,https://www.ikea.com/us/en/p/norden-gateleg-table-birch-90423887/,FOO,350,89,74,81,Table
38,Vejmon Coffee Table,https://www.ikea.com/sa/en/p/vejmon-coffee-table-black-brown-60136680/,FOO,160,95,5,93,Table
39,Sit/stand Desk,https://us.usm.com/,FOO,250,72,70,150,Desk
40,Tensos Desk,https://www.assmann.de/en/product/tensos/,FOO,300,80,62,180,Desk
41,Battery Desk,https://www.assmann.de/en/product/tensos/,FOO,175,74,65,170,Desk
42,Executive Desk,https://us.usm.com/,FOO,200,62,70,150,Desk
43,Gustav Desk,https://offerup.com/item/detail/429935227,FOO,50,60,85,110,Desk
44,Alve Desk,https://kaiyo.com/ikea-ikea-alve-desk/,FOO,300,66,74,152,Desk
45,PAHL Desk,https://www.ikea.com/us/en/p/pahl-desk-white-s49128945/,FOO,100,58,59,96,Desk
46,MICKE Desk,https://www.ikea.com/us/en/p/micke-desk-white-80213074/,FOO,100,50,75,105,Desk
47,L Desk,https://us.usm.com/,FOO,120,55,65,140,Desk
48,Aiport Desk,https://us.usm.com/,FOO,100,58,68,130,Desk
49,Aspelund Chest of 2 Drawers,https://www.aptdeco.com/product/ikea-aspelund-2-drawer-dresser,FOO,50,44,79,87,Drawer
50,Birkeland 6 Drawer Chest of Drawers,https://offerup.com/item/detail/350589624,FOO,300,52,112,109,Drawer
51,Helmer Drawer Unit with Casters,https://www.ikea.com/us/en/p/helmer-drawer-unit-on-casters-white-10251045/,FOO,80,44,69,28,Drawer
52,Lennart Drawer Unit,https://www.ikea.com/us/en/p/lennart-drawer-unit-white-30326177/,FOO,15,34,56,30,Drawer
53,Alex Drawer Unit,https://www.ikea.com/us/en/p/alex-drawer-unit-white-00473546/,FOO,90,58,70,36,Drawer
54,Hemnes Chest of 3 Drawers,https://www.ikea.com/us/en/p/hemnes-3-drawer-chest-white-stain-70360414/,FOO,270,50,96,108,Drawer
55,Hemnes Chest of 6 Drawers,https://www.ikea.com/us/en/p/hemnes-6-drawer-chest-white-stain-80360418/,FOO,350,50,131,108,Drawer
56,Aspelund 3 Drawer Dresser,https://www.aptdeco.com/product/ikea-aspelund-3-drawer-dresser-2,FOO,65,44,110,88,Drawer
57,Malm 2 Drawer Chest,https://www.ikea.com/us/en/p/malm-2-drawer-chest-black-brown-00103343/,FOO,90,48,55,40,Drawer
68,Pacific Armchair,https://hivemodern.com/pages/product15646/pacific-armchair-patricia-urquiola-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhn5YJ1JSlEu8hN6iywsuZCXoyIA61d189JGDqwRLmFUbsUK6Ziui0ghoCwvgQAvD_BwE,FOO,3155,92,100,73,Chair
70,Neil Leather Chair,https://www.monologuelondon.com/products/neil-chair,FOO,1650,58,50,80,Chair
75,Overdyed Chair,https://progarr.com/chair-diesel-with-moroso-overdyed/?srsltid=AfmBOoqEnMVoA9NTCN-Z1yQOaHsm9toOtjWWAVm4cFSNBQokckM_ed2FYMY,FOO,643,56,50,86,Chair
76,Tender Vis-A-Vis Sofa,https://www.archiproducts.com/en/products/moroso/2-seater-vis-a-vis-fabric-sofa-tender-vis-a-vis_453464,FOO,5352,110,185,83,Sofa
77,Gentry Extra Light 3 Seater Sofa,https://www.jangeorge.com/products/gentry-x-light-3-seater-sofa-927,FOO,8715,90,255,85,Sofa
78,Gogan Sofa,https://hivemodern.com/pages/product15664/gogan-sofa-with-chaise-composition-ca1-patricia-urquiola-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhnwd3nbvK3frCgUg2n85_J3i6GC9HSagtJNwf-rx7F6Dl0rrt2hkl8xoCXSwQAvD_BwE,FOO,11320,170,282,70,Sofa
79,Granbambole Sofa,https://shop.bebitalia.com/en/us/le-bambole---granbambola-three-seater-sofa---juniper-boucl%C3%A8-boucl%C3%A8-green/E_LBA_0022.html?srsltid=AfmBOopykbrLjSWa_MI9LOUIu7VgTKi_8ztd4toVpsvyO-jhfChEsRUb11s,FOO,13809,116,244,75,Sofa
80,Mate Sofa,https://clippings.com/products/mate-sofa-3-seater-1261111?selection=Filling%3AWadding%21Upholstery%3AYork_Similpelle_arancione_R350_Col._933&variation=89818471,FOO,2717,90,238,67,Sofa
81,Gemm Sofa,https://hivemodern.com/pages/product10685/gemma-sofa-daniel-libeskind-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhn-xnOqKrouGpb_OVXtlSqCu5XK8WodN5K-nnRVfbGJHZzNYzVGiiEhoCps8QAvD_BwE,FOO,9780,86,264,80,Sofa
82,Iron Maiden Sofa,https://www.1stdibs.com/furniture/seating/sofas/iron-maiden-three-seat-upholstered-steel-frame-sofa-moroso-diesel/id-f_9996253/?utm_content=condensed&allowUniversalLink=no&gad_source=1&gclid=CjwKCAiAgeeqBhBAEiwAoDDhn_aKiGrBCkZLF5VYPXLjA77e4d1KMifEhhf8ieBfchnr7lKSHnWFWxoCvugQAvD_BwE&gclsrc=aw.ds,FOO,9000,90,240,70,Sofa
83,Josh Sofa,https://www.newpop.it/en/home/31368-92245-moroso-divano-2-posti-major-josh-20-cm-220x110.html?countryselect=US&SubmitCurrency=1&id_currency=2&gad_source=1&gclid=CjwKCAiAgeeqBhBAEiwAoDDhn747U6o9UWwQ61hKEW7W0OQ1L-YFm0m0uXVvIhXZ6TjJZ-SepB86ZBoCp20QAvD_BwE#/9555-categoria_tessuto_moroso-prints_patterns/9572-prints_patterns_moroso-birds?SubmitCurrency=1&id_currency=2&utm_campaign=feed_merchant&utm_source=google&utm_medium=cpc,FOO,9560,113,375,40,Sofa
84,Pacific Sofa,https://hivemodern.com/pages/product15645/pacific-3-seat-sofa-patricia-urquiola-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhn-t3ueTy3hOV-QpuWYKCyx6r860fTLA6Jqf-gkVjNsrN3KrzRJlMaRoCPg8QAvD_BwE,FOO,9430,130,300,78,Sofa
85,Bohemian Sofa,https://hivemodern.com/pages/product15676/bohemian-3-seater-sofa-patricia-urquiola-moroso?gclid=CjwKCAiAgeeqBhBAEiwAoDDhn7PKrc3126DKqzlFYRl9JNANpbYFpiC366hIEvKRss2elKpQVmO_mBoCTsgQAvD_BwE,FOO,13690,114,280,73,Sofa
86,Gimme More Sofa,https://www.1stdibs.com/furniture/seating/sofas/gimme-more-three-seat-fabric-sofa-fiber-goose-moroso-diesel/id-f_9871023/,FOO,6560,100,240,85,Sofa
87,Heartbreaker Sofa,https://progarr.com/modular-sofa-moroso-heartbreaker-lateral-element-205x100-cm-80-71x39-37/?srsltid=AfmBOooewk3YD2xEMUKQWTKUf1WBy8nDzwAxPbtEqAzuKMHnQvT5-LEghBs,FOO,5038,100,205,70,Sofa
88,Yale X Sofa,https://www.northernicon.com/p-7754-yale-x-3s-extra-sofa-standard-low-backrest.aspx,FOO,8092,86,260,80,Sofa
